model,test,seed,field,n,threshold,nb_only,nn_only,nb_nn_mixed,no_nb_nn,nb_only_pct,nn_only_pct,nb_nn_mixed_pct,no_nb_nn_pct,mean_nb,mean_nn,mean_nb_minus_nn,mean_da,mean_sv,mean_other
original_subsampled,bokmal,42,reference,1313,0.5,1308,2,2,1,0.9961919268849961,0.0015232292460015233,0.0015232292460015233,0.0007616146230007616,0.9952244196833315,0.012052049855814229,0.9831723698275173,0.00626804526405396,0.0011567812996156582,0.0017780452843370062
original_subsampled,bokmal,123,prediction,1313,0.5,1246,51,11,5,0.948971820258949,0.03884234577303884,0.008377760853008377,0.003808073115003808,0.9549339129263604,0.05510227449314174,0.8998316384332187,0.007065786768746183,0.0018731772031516725,0.002856625446509709
original_subsampled,bokmal,123,reference,1313,0.5,1308,2,2,1,0.9961919268849961,0.0015232292460015233,0.0015232292460015233,0.0007616146230007616,0.9952244196833315,0.012052049855814229,0.9831723698275173,0.00626804526405396,0.0011567812996156582,0.0017780452843370062
original_subsampled,bokmal,456,prediction,1313,0.5,1255,46,8,4,0.9558263518659559,0.035034272658035034,0.006092916984006093,0.0030464584920030465,0.9603546012992887,0.04844262591366642,0.9119119753856223,0.00736655993980041,0.0018532472873874293,0.0028571389518537746
original_subsampled,bokmal,456,reference,1313,0.5,1308,2,2,1,0.9961919268849961,0.0015232292460015233,0.0015232292460015233,0.0007616146230007616,0.9952244196833315,0.012052049855814229,0.9831723698275173,0.00626804526405396,0.0011567812996156582,0.0017780452843370062
original_subsampled,flores_nob,42,prediction,1012,0.5,985,6,11,10,0.9733201581027668,0.005928853754940711,0.010869565217391304,0.009881422924901186,0.9817143856456205,0.018078328558572266,0.9636360570870482,0.012842137270310179,0.0007848614538377178,0.0008606780906472842
original_subsampled,flores_nob,42,reference,1012,0.5,1007,1,4,0,0.9950592885375494,0.0009881422924901185,0.003952569169960474,0.0,0.9978331201781704,0.007094928769385495,0.9907381914087849,0.0013218497429349047,0.0008334717266313919,0.0008422417731456626
original_subsampled,flores_nob,123,prediction,1012,0.5,991,1,11,9,0.9792490118577075,0.0009881422924901185,0.010869565217391304,0.008893280632411068,0.9873236596907338,0.014611210416405236,0.9727124492743285,0.011861670266927846,0.001147662469675161,0.0008374851649393454
original_subsampled,flores_nob,123,reference,1012,0.5,1007,1,4,0,0.9950592885375494,0.0009881422924901185,0.003952569169960474,0.0,0.9978331201781704,0.007094928769385495,0.9907381914087849,0.0013218497429349047,0.0008334717266313919,0.0008422417731456626
original_subsampled,flores_nob,456,prediction,1012,0.5,983,6,11,12,0.9713438735177866,0.005928853754940711,0.010869565217391304,0.011857707509881422,0.9802565472690562,0.01821044435552682,0.9620461029135294,0.015041421437100818,0.0010758072654432822,0.0008623402597654263
