model_id,condition,test,seed,field,n,threshold,nb_only_pct,nn_only_pct,mixed_pct,uncertain_pct,nb_only,nn_only,mixed,uncertain,mean_nb,mean_nn,mean_nb_minus_nn
nllb_1_3b,original_subsampled,original,123,prediction,1742,0.5,0.8071182548794489,0.12686567164179105,0.060849598163030996,0.005166475315729047,1406,221,106,9,0.8634601952177458,0.18926000833995626,0.6742001868777895
nllb_1_3b,original_subsampled,original,456,prediction,1742,0.5,0.7858783008036739,0.14810562571756603,0.060849598163030996,0.005166475315729047,1369,258,106,9,0.8432555534352546,0.2080395921556667,0.6352159612795879
nllb_1_3b,original_subsampled,bokmal,42,prediction,1313,0.5,0.9565879664889566,0.035034272658035034,0.006092916984006093,0.002284843869002285,1256,46,8,3,0.9617826071079209,0.04728485578851085,0.91449775131941
nllb_1_3b,original_subsampled,bokmal,123,prediction,1313,0.5,0.9642041127189642,0.027418126428027417,0.006092916984006093,0.002284843869002285,1266,36,8,3,0.9693466286013673,0.040093190071547796,0.9292534385298196
nllb_1_3b,original_subsampled,bokmal,456,prediction,1313,0.5,0.9512566641279513,0.03884234577303884,0.007616146230007616,0.002284843869002285,1249,51,10,3,0.9575623078954678,0.052154579796224176,0.9054077280992436
nllb_1_3b,bokmal,original,42,prediction,1742,0.5,0.9408725602755453,0.001148105625717566,0.05453501722158439,0.003444316877152698,1639,2,95,6,0.9897808371074728,0.05945617262660697,0.9303246644808658
nllb_1_3b,bokmal,original,123,prediction,1742,0.5,0.9460390355912744,0.000574052812858783,0.04994259471871412,0.003444316877152698,1648,1,87,6,0.9909810067169704,0.05370492169638486,0.9372760850205856
nllb_1_3b,bokmal,original,456,prediction,1742,0.5,0.9414466130884042,0.002296211251435132,0.0539609644087256,0.002296211251435132,1640,4,94,4,0.9908105381626805,0.059208215514564365,0.9316023226481162
nllb_1_3b,bokmal,bokmal,42,prediction,1313,0.5,0.9900990099009901,0.0007616146230007616,0.007616146230007616,0.0015232292460015233,1300,1,10,2,0.995729859152391,0.014174647672861349,0.9815552114795296
nllb_1_3b,bokmal,bokmal,123,prediction,1313,0.5,0.993907083015994,0.0,0.005331302361005331,0.0007616146230007616,1305,0,7,1,0.9972701691699648,0.012028380058419778,0.985241789111545
nllb_1_3b,bokmal,bokmal,456,prediction,1313,0.5,0.9908606245239908,0.0015232292460015233,0.006854531607006854,0.0007616146230007616,1301,2,9,1,0.9959089962174366,0.014342485955971849,0.9815665102614647
nllb_3_3b,original_subsampled,original,42,prediction,1742,0.5,0.7921928817451206,0.14293915040183697,0.06027554535017222,0.004592422502870264,1380,249,105,8,0.8478638506874215,0.2046363170520134,0.6432275336354081
nllb_3_3b,original_subsampled,original,123,prediction,1742,0.5,0.7985074626865671,0.1377726750861079,0.05970149253731343,0.004018369690011481,1391,240,104,7,0.8537667878492887,0.19849302168140628,0.6552737661678825
nllb_3_3b,original_subsampled,original,456,prediction,1742,0.5,0.804247990815155,0.13088404133180254,0.06142365097588978,0.003444316877152698,1401,228,107,6,0.8611968995717211,0.19346154036458682,0.6677353592071342
nllb_3_3b,original_subsampled,bokmal,42,prediction,1313,0.5,0.9535415079969536,0.0357958872810358,0.00913937547600914,0.0015232292460015233,1252,47,12,2,0.9611491690245202,0.050993220038101666,0.9101559489864185
nllb_3_3b,original_subsampled,bokmal,123,prediction,1313,0.5,0.968012185833968,0.026656511805026657,0.00456968773800457,0.0007616146230007616,1271,35,6,1,0.9705729192249473,0.03824892264186214,0.9323239965830852
nllb_3_3b,original_subsampled,bokmal,456,prediction,1313,0.5,0.9672505712109672,0.024371667936024372,0.008377760853008377,0.0,1270,32,11,0,0.973635505268186,0.038958749417591074,0.934676755850595
nllb_3_3b,bokmal,original,42,prediction,1742,0.5,0.9454649827784156,0.000574052812858783,0.05109070034443169,0.0028702640642939152,1647,1,89,5,0.9920261774626994,0.05600229396688402,0.9360238834958153
nllb_3_3b,bokmal,original,123,prediction,1742,0.5,0.9454649827784156,0.001148105625717566,0.0505166475315729,0.0028702640642939152,1647,2,88,5,0.9913833457912424,0.054848144804378454,0.9365352009868639
nllb_3_3b,bokmal,original,456,prediction,1742,0.5,0.947187141216992,0.000574052812858783,0.04994259471871412,0.002296211251435132,1650,1,87,4,0.9923366112581077,0.054882925898939526,0.9374536853591682
nllb_3_3b,bokmal,bokmal,42,prediction,1313,0.5,0.9946686976389947,0.0,0.005331302361005331,0.0,1306,0,7,0,0.9980995912907783,0.01181009766761635,0.986289493623162
nllb_3_3b,bokmal,bokmal,123,prediction,1313,0.5,0.993907083015994,0.0,0.006092916984006093,0.0,1305,0,8,0,0.9977491776269534,0.012231268116523638,0.9855179095104297
nllb_3_3b,bokmal,bokmal,456,prediction,1313,0.5,0.9931454683929931,0.0,0.006854531607006854,0.0,1304,0,9,0,0.9976364307882943,0.01302064469298643,0.9846157860953079
